Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.65905,0.93402,1.3747,0,0,0,1.5,0.00026889,-5.1216E-08,5.4936E-07,0.00047852,-7.7494E-08,0.00023674,0,0,0,0,0,0,package://SimAssemb/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SimAssemb/meshes/base_link.STL,,baseLink-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fr_shoulder,0.0043625,-4.9278E-07,-0.0292,0,0,0,0.1,1.3355E-05,4.4188E-10,1.3752E-07,1.5523E-05,-1.3639E-10,8.5773E-06,0,0,0,0,0,0,package://SimAssemb/meshes/fr_shoulder.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SimAssemb/meshes/fr_shoulder.STL,,FR_Shoulder-1,Origin_fr_shoulder_joint,Axis_fr_shoulder_joint,fr_shoulder_joint,revolute,0.72641,-1.2268,0.93668,-1.5708,0,0,base_link,0,0,1,20,5.2,-1.57,1.57,,,,,,,,
fr_femur,0.01867,-0.044796,0.00098066,0,0,0,0.2,4.2325E-05,8.0106E-07,-9.6567E-10,7.4222E-06,-6.1359E-08,4.6338E-05,0,0,0,0,0,0,package://SimAssemb/meshes/fr_femur.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SimAssemb/meshes/fr_femur.STL,,FR_Femur-1,Origin_fr_femur_joint,Axis_fr_femur_joint,fr_femur_joint,revolute,0.0279,0,-0.039,3.1416,0,0,fr_shoulder,1,0,0,20,5.2,-1.57,1.57,,,,,,,,
fr_tibia,-0.051775,-0.0041435,0.0074848,0,0,0,0.1,1.8193E-06,-2.4081E-06,-2.5935E-07,5.8561E-05,-7.5773E-09,5.9151E-05,0,0,0,0,0,0,package://SimAssemb/meshes/fr_tibia.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SimAssemb/meshes/fr_tibia.STL,,FR_Tibia-1,Origin_fr_tibia_joint,Axis_fr_tibia_joint,fr_tibia_joint,revolute,0.012625,-0.09,0,0,-1.5708,0,fr_femur,0,0,1,20,5.2,-1.57,1.57,,,,,,,,
fl_shoulder,0.04657,-0.044796,-0.016519,0,0,0,0.1,4.2325E-05,8.0106E-07,-9.6567E-10,7.4222E-06,-6.1359E-08,4.6338E-05,0,0,0,0,0,0,package://SimAssemb/meshes/fl_shoulder.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SimAssemb/meshes/fl_shoulder.STL,,FL_Femur-1,Origin_fl_shoulder_joint,Axis_fl_shoulder_joint,fl_shoulder_joint,revolute,0.59161,-1.2483,0.93668,1.5708,0,3.1416,base_link,0,0,1,20,5.2,-1.57,1.57,,,,,,,,
fl_femur,-0.20965,0.4567,0.013481,0,0,0,0.2,4.2325E-05,8.0106E-07,-9.6567E-10,7.4222E-06,-6.1359E-08,4.6338E-05,0,0,0,0,0,0,package://SimAssemb/meshes/fl_femur.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SimAssemb/meshes/fl_femur.STL,,FL_Femur-1,Origin_fl_femur_joint,,fl_femur_joint,revolute,0.25622,-0.5015,-0.03,0,0,0,fl_shoulder,0,0,0,20,5.2,-1.57,1.57,,,,,,,,
fl_tibia,-0.051775,-0.0041435,0.0074848,0,0,0,0.1,1.8193E-06,-2.4081E-06,-2.5935E-07,5.8561E-05,-7.5773E-09,5.9151E-05,0,0,0,0,0,0,package://SimAssemb/meshes/fl_tibia.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SimAssemb/meshes/fl_tibia.STL,,FL_Tibia-1,Origin_fl_tibia_joint,Axis_fl_tibia_joint,fl_tibia_joint,revolute,-0.20094,0.4115,0.0125,3.1416,1.5708,0,fl_femur,0,0,1,20,5.2,-1.57,1.57,,,,,,,,
br_shoulder,0.0043625,-4.9278E-07,0.0288,0,0,0,0.1,1.3355E-05,4.4188E-10,1.3752E-07,1.5523E-05,-1.3639E-10,8.5773E-06,0,0,0,0,0,0,package://SimAssemb/meshes/br_shoulder.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SimAssemb/meshes/br_shoulder.STL,,BR_Shoulder-1,Origin_br_shoulder_joint,Axis_br_shoulder_joint,br_shoulder_joint,revolute,0.72635,-1.4646,0.93656,1.5708,0,0,base_link,0,0,1,20,5.2,-1.57,1.57,,,,,,,,
br_femur,0.01867,-0.044796,0.00098066,0,0,0,0.2,4.2325E-05,8.0106E-07,-9.6567E-10,7.4222E-06,-6.1359E-08,4.6338E-05,0,0,0,0,0,0,package://SimAssemb/meshes/br_femur.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SimAssemb/meshes/br_femur.STL,,BR_Femur-1,Origin_br_femur_joint,Axis_br_femur_joint,br_femur_joint,revolute,0.0279,0,0.019,0,0,0,br_shoulder,1,0,0,20,5.2,-1.57,1.57,,,,,,,,
br_tibia,-0.051775,-0.0041435,0.0074848,0,0,0,0.1,1.8193E-06,-2.4081E-06,-2.5935E-07,5.8561E-05,-7.5773E-09,5.9151E-05,0,0,0,0,0,0,package://SimAssemb/meshes/br_tibia.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SimAssemb/meshes/br_tibia.STL,,BR_Tibia-1,Origin_br_tibia_joint,Axis_br_tibia_joint,br_tibia_joint,revolute,0.012625,-0.09,0,0,-1.5708,0,br_femur,0,0,1,20,5.2,-1.57,1.57,,,,,,,,
bl_shoulder,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,package://SimAssemb/meshes/bl_shoulder.STL,1,1,1,1,0,0,0,0,0,0,package://SimAssemb/meshes/bl_shoulder.STL,,BL_Shoulder-1,Origin_bl_shoulder_joint,Axis_bl_shoulder_joint,bl_shoulder_joint,revolute,0.59167,-1.4646,0.93656,-1.5708,0,-3.1416,base_link,0,0,1,20,5.2,-1.57,1.57,,,,,,,,
bl_femur,0.01867,-0.044796,0.00098066,0,0,0,0.2,4.2325E-05,8.0106E-07,-9.6567E-10,7.4222E-06,-6.1359E-08,4.6338E-05,0,0,0,0,0,0,package://SimAssemb/meshes/bl_femur.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SimAssemb/meshes/bl_femur.STL,,BL_Femur-1,Origin_bl_femur_joint,Axis_bl_femur_joint,bl_femur_joint,revolute,0.0279,0,0.019,3.1416,0,0,bl_shoulder,1,0,0,20,5.2,-1.57,1.57,,,,,,,,
